s.no,Institute,Subject,Location,Trainer_Qualification,Online_classes,Offline_classes,Course_level,Placements,Certificate,Trainer_experiance,Course_hours,Course_rating,Rental_permises,Trainer_slary,Maintaince_cost,Non_teaching_staff_salary,Price
36,Coursera,DigitalTransformation,Ahmedabad,UnderGraduate,Yes,no,intermediate,No,Yes,10,99,3,72,445,73,127,790
37,Edx,DigitalTransformation,Delhi,UnderGraduate,Yes,no,intermediate,No,Yes,20,199,5,146,797,94,219,1484
38,Great_Learn,CloudComputing,Mumbai,Graduate,Yes,Yes,intermediate,No,Yes,10,97,2,46,303,95,127,792
39,Upgrad,DigitalMarketing,Delhi,Doctorate,no,no,intermediate,Yes,Yes,9,93,2,60,445,96,103,696
40,Great_Learn,ProjectManagement,Pune,Doctorate,Yes,Yes,intermediate,Yes,Yes,5,67,2,43,305,97,78,474
41,Datatrain,FullstackDataScience,Chennai,UnderGraduate,Yes,no,advanced,Yes,Yes,18,185,5,134,748,98,200,1322
42,360DigiTMG,ProjectManagement,Delhi,Graduate,Yes,Yes,advanced,Yes,Yes,19,190,5,135,758,99,205,1373
43,Edvancer,CloudComputing,Kanpour,Graduate,no,Yes,advanced,Yes,Yes,4,59,2,38,289,100,75,432
44,Udemy,ArtificialIntelligence,Kanpour,Graduate,no,no,beginer,Yes,Yes,20,196,5,146,789,148,225,1465
45,Datatrain,python,Pune,UnderGraduate,Yes,Yes,intermediate,No,Yes,16,165,3,81,520,82,138,905
46,Datatrain,ProjectManagement,Pune,UnderGraduate,Yes,no,beginer,Yes,Yes,12,175,3,85,535,86,145,958
47,Datatrain,FullstackDataScience,Bengaluru,UnderGraduate,Yes,no,intermediate,No,Yes,16,165,4,118,650,119,187,1200
48,Simple_learn,BigData,Delhi,UnderGraduate,Yes,Yes,advanced,No,Yes,11,101,3,90,580,90,152,989
49,innomatics,DataScience,Delhi,Graduate,Yes,Yes,intermediate,No,Yes,14,138,4,107,580,108,169,1079
50,Datatrain,Dataanalysis,Pune,Graduate,no,no,intermediate,Yes,Yes,2,42,1,15,210,16,52,319
51,innomatics,CloudComputing,Bengaluru,UnderGraduate,Yes,no,intermediate,No,Yes,6,75,2,48,350,49,93,587
52,Edureka,ProjectManagement,Kanpour,Graduate,Yes,Yes,intermediate,Yes,Yes,16,165,4,119,660,122,195,1246
53,Udemy,python,Hyderabad,UnderGraduate,Yes,Yes,advanced,Yes,Yes,13,130,3,102,591,106,150,1051
54,Coursera,DigitalMarketing,Calcutta,UnderGraduate,Yes,no,beginer,Yes,Yes,9,98,3,74,482,75,118,800
55,Data_camp,DigitalMarketing,Pune,UnderGraduate,no,Yes,advanced,No,Yes,18,182,4,101,727,135,205,1307
56,ExcelR,FullstackDataScience,Chennai,Graduate,no,no,beginer,No,Yes,17,179,4,99,720,132,202,1257
57,Simple_learn,DataScience,Bengaluru,Graduate,Yes,no,intermediate,Yes,Yes,8,97,3,65,412,66,121,767
58,Udemy,python,Chennai,UnderGraduate,Yes,Yes,beginer,Yes,Yes,19,191,5,140,760,142,215,1412
59,Coursera,DataScience,Calcutta,UnderGraduate,no,Yes,advanced,No,Yes,16,129,4,94,585,96,148,975
60,Datatrain,BigData,Delhi,Doctorate,Yes,no,advanced,Yes,Yes,13,120,3,89,579,91,142,911
61,Edureka,DataScience,Hyderabad,UnderGraduate,Yes,Yes,beginer,Yes,Yes,6,76,2,48,353,49,93,591
62,innomatics,DigitalTransformation,Ahmedabad,Graduate,no,no,beginer,Yes,Yes,14,135,4,95,595,99,151,1015
63,Coursera,python,Pune,UnderGraduate,no,no,intermediate,Yes,Yes,9,101,3,66,430,69,128,791
64,Upgrad,FullstackDataScience,Mumbai,Doctorate,no,Yes,beginer,Yes,Yes,13,135,3,103,593,107,152,1063
65,Udemy,ArtificialIntelligence,Ahmedabad,Doctorate,no,no,advanced,No,Yes,6,77,2,49,354,50,94,598
66,Upgrad,python,Kanpour,Doctorate,Yes,no,advanced,Yes,Yes,4,53,1,31,275,33,66,423
67,Upgrad,ArtificialIntelligence,Hyderabad,Doctorate,Yes,Yes,intermediate,No,Yes,10,105,3,73,425,76,125,777
68,360DigiTMG,FullstackDataScience,Delhi,Doctorate,Yes,no,beginer,Yes,Yes,2,46,1,17,230,18,52,352
69,Great_Learn,ArtificialIntelligence,Kanpour,Doctorate,Yes,no,beginer,No,Yes,13,124,3,95,588,97,146,978
70,Great_Learn,ArtificialIntelligence,Kanpour,Doctorate,Yes,no,intermediate,No,Yes,13,133,4,104,591,105,150,1041
71,Edvancer,CloudComputing,Bengaluru,Doctorate,no,no,beginer,Yes,Yes,15,156,4,113,636,115,172,1113
72,Datatrain,ProjectManagement,Chennai,Graduate,no,Yes,intermediate,Yes,Yes,11,115,3,78,501,81,132,860
73,Udemy,ArtificialIntelligence,Chennai,Doctorate,no,no,advanced,No,Yes,7,91,2,61,423,63,112,705
74,Data_camp,FullstackDataScience,Mumbai,UnderGraduate,Yes,Yes,advanced,Yes,Yes,12,131,4,101,575,103,145,1001
75,Simple_learn,DataScience,Kanpour,UnderGraduate,no,no,intermediate,Yes,Yes,11,118,3,84,511,83,137,883
76,Great_Learn,ProjectManagement,Mumbai,Doctorate,Yes,no,intermediate,No,Yes,18,185,4,132,725,135,206,1377
77,innomatics,python,Calcutta,Doctorate,Yes,Yes,beginer,Yes,Yes,14,128,3,94,572,95,152,997
78,Upgrad,DataScience,Mumbai,UnderGraduate,Yes,Yes,advanced,Yes,Yes,5,59,2,34,278,34,67,470
79,Edvancer,ProjectManagement,Kanpour,Doctorate,Yes,no,intermediate,Yes,Yes,10,104,3,75,425,76,125,777
80,innomatics,ArtificialIntelligence,Mumbai,Doctorate,no,no,intermediate,No,Yes,10,109,3,79,432,80,129,799
81,Data_camp,python,Bengaluru,Graduate,no,Yes,intermediate,Yes,Yes,5,107,2,33,281,35,68,474
82,Upgrad,CloudComputing,Bengaluru,Graduate,Yes,no,intermediate,Yes,Yes,7,83,3,87,545,89,142,932
83,Udemy,BigData,Bengaluru,Graduate,no,no,intermediate,No,Yes,6,115,3,79,495,80,134,856
84,Edureka,BigData,Ahmedabad,Doctorate,Yes,no,advanced,No,Yes,7,82,2,52,375,54,99,666
85,Upgrad,Dataanalysis,Delhi,UnderGraduate,Yes,Yes,beginer,No,Yes,9,104,3,71,416,72,165,1094
86,Edureka,BigData,Hyderabad,UnderGraduate,no,no,advanced,No,Yes,5,64,2,35,300,37,72,492
87,360DigiTMG,DataScience,Hyderabad,UnderGraduate,no,Yes,intermediate,Yes,Yes,6,72,2,46,330,47,90,562
88,ExcelR,DataScience,Chennai,UnderGraduate,no,Yes,advanced,No,Yes,11,120,3,84,521,85,141,899
89,ExcelR,python,Ahmedabad,Graduate,no,no,beginer,Yes,Yes,11,129,3,86,537,88,147,938
90,Edureka,BigData,Kanpour,Doctorate,Yes,no,beginer,No,Yes,11,138,3,90,562,91,153,967
91,Upgrad,BigData,Calcutta,Doctorate,Yes,no,intermediate,No,Yes,1,42,1,15,210,16,51,308
92,innomatics,python,Mumbai,Doctorate,no,Yes,advanced,Yes,Yes,2,46,1,16,230,18,57,377
93,Coursera,BigData,Chennai,Graduate,Yes,Yes,beginer,No,Yes,20,196,5,145,789,146,220,1465
94,360DigiTMG,Dataanalysis,Calcutta,Doctorate,no,Yes,advanced,Yes,Yes,15,165,4,117,648,119,181,1192
95,Edx,DigitalMarketing,Pune,UnderGraduate,Yes,Yes,intermediate,Yes,Yes,20,200,5,149,800,150,225,1498
96,Upgrad,CloudComputing,Pune,Graduate,Yes,no,intermediate,No,Yes,11,126,3,84,534,86,145,928
97,360DigiTMG,CloudComputing,Calcutta,Doctorate,Yes,Yes,beginer,No,Yes,10,109,3,79,432,80,129,798
98,Data_camp,DigitalTransformation,Mumbai,UnderGraduate,Yes,Yes,advanced,Yes,Yes,18,187,5,137,611,139,208,1386
99,Great_Learn,CloudComputing,Delhi,Doctorate,Yes,Yes,advanced,No,Yes,18,187,5,137,611,139,208,1387
100,Edvancer,DigitalMarketing,Ahmedabad,Doctorate,Yes,Yes,advanced,Yes,Yes,14,154,4,113,634,115,178,1132
101,Udemy,ArtificialIntelligence,Hyderabad,UnderGraduate,Yes,Yes,advanced,No,Yes,6,74,2,46,325,47,91,566
102,360DigiTMG,ProjectManagement,Ahmedabad,Graduate,Yes,Yes,intermediate,Yes,Yes,11,161,4,117,648,118,180,1180
103,ExcelR,DataScience,Kanpour,Graduate,no,Yes,advanced,No,Yes,7,89,2,61,396,62,63,676
104,Data_camp,ProjectManagement,Calcutta,Graduate,no,no,advanced,Yes,Yes,20,197,5,145,795,148,222,1482
105,Datatrain,CloudComputing,Calcutta,Doctorate,no,Yes,beginer,Yes,Yes,5,71,2,44,321,46,89,557
106,Edureka,BigData,Mumbai,UnderGraduate,Yes,Yes,advanced,No,Yes,19,190,5,141,750,142,215,1433
107,Great_Learn,ProjectManagement,Mumbai,UnderGraduate,Yes,Yes,beginer,Yes,Yes,6,74,2,47,327,49,93,577
108,Edureka,Dataanalysis,Chennai,Graduate,no,Yes,intermediate,No,Yes,7,91,2,95,555,96,151,980
109,Udemy,ProjectManagement,Calcutta,UnderGraduate,no,no,intermediate,Yes,Yes,16,168,4,121,675,122,187,1227
110,Coursera,FullstackDataScience,Chennai,UnderGraduate,Yes,Yes,beginer,Yes,Yes,9,97,3,69,434,67,116,739
111,ExcelR,ArtificialIntelligence,Hyderabad,UnderGraduate,Yes,no,beginer,Yes,Yes,5,62,2,31,290,32,77,480
112,Guvi,FullstackDataScience,Ahmedabad,Doctorate,Yes,Yes,advanced,No,Yes,6,79,2,50,360,52,95,607
113,Edx,DataScience,Chennai,Doctorate,Yes,Yes,beginer,No,Yes,17,170,4,122,677,124,189,1233
114,Upgrad,ArtificialIntelligence,Chennai,Doctorate,Yes,no,beginer,Yes,Yes,11,158,4,114,636,116,179,1137
115,Guvi,Dataanalysis,Pune,Graduate,Yes,Yes,beginer,No,Yes,7,90,2,62,397,63,65,687
116,Udemy,FullstackDataScience,Mumbai,Doctorate,no,no,intermediate,No,Yes,2,42,1,17,215,18,53,320
117,Coursera,DigitalTransformation,Bengaluru,Doctorate,no,no,beginer,No,Yes,20,195,5,147,791,149,224,1495
118,ExcelR,FullstackDataScience,Pune,Doctorate,no,Yes,intermediate,No,Yes,8,94,2,62,405,64,67,694
119,ExcelR,FullstackDataScience,Delhi,UnderGraduate,Yes,no,intermediate,Yes,Yes,2,43,1,18,217,19,54,326
120,ExcelR,FullstackDataScience,Bengaluru,Doctorate,Yes,no,beginer,No,Yes,5,62,2,31,290,32,77,481
121,Udemy,DataScience,Hyderabad,Graduate,no,no,intermediate,No,Yes,10,109,3,75,403,76,126,847
122,Datatrain,FullstackDataScience,Calcutta,Graduate,Yes,no,intermediate,Yes,Yes,7,87,2,59,392,61,62,667
123,Great_Learn,DataScience,Calcutta,Doctorate,no,no,advanced,Yes,Yes,18,146,4,105,605,107,165,1092
124,Great_Learn,DataScience,Calcutta,UnderGraduate,Yes,no,intermediate,No,Yes,6,73,2,47,322,48,92,568
125,Udemy,DataScience,Hyderabad,UnderGraduate,no,Yes,advanced,Yes,Yes,13,132,3,92,556,95,151,995
126,Great_Learn,python,Pune,Graduate,no,Yes,intermediate,No,Yes,10,109,3,73,402,75,125,844
127,ExcelR,ArtificialIntelligence,Kanpour,Doctorate,no,no,intermediate,No,Yes,19,192,5,141,774,142,117,1443
128,360DigiTMG,python,Delhi,Doctorate,Yes,Yes,advanced,Yes,Yes,19,191,5,140,773,141,116,1436
129,Coursera,python,Chennai,Graduate,Yes,Yes,intermediate,Yes,Yes,13,131,3,92,555,94,150,990
130,Edvancer,CloudComputing,Bengaluru,Doctorate,no,no,advanced,Yes,Yes,5,69,2,45,312,46,90,530
131,Udemy,DataScience,Mumbai,UnderGraduate,no,no,beginer,Yes,Yes,11,120,3,86,513,84,140,909
132,Coursera,FullstackDataScience,Mumbai,Graduate,no,Yes,beginer,No,Yes,18,148,4,107,607,108,166,1100
133,Simple_learn,Dataanalysis,Chennai,UnderGraduate,Yes,no,advanced,Yes,Yes,11,123,3,86,515,85,142,917
134,Simple_learn,DigitalTransformation,Kanpour,UnderGraduate,Yes,Yes,intermediate,Yes,Yes,20,196,5,145,784,146,221,1460
135,Great_Learn,python,Pune,Doctorate,Yes,no,intermediate,No,Yes,5,68,2,44,310,45,88,522
136,innomatics,CloudComputing,Hyderabad,Doctorate,no,Yes,beginer,No,Yes,18,182,4,132,730,134,202,1360
137,ExcelR,python,Kanpour,UnderGraduate,no,Yes,intermediate,Yes,Yes,6,79,2,51,360,53,96,611
138,innomatics,BigData,Hyderabad,Doctorate,Yes,no,intermediate,No,Yes,9,98,2,65,429,67,115,745
139,Great_Learn,ArtificialIntelligence,Mumbai,Graduate,no,no,beginer,Yes,Yes,20,196,5,146,796,147,223,1487
140,Edx,DigitalMarketing,Hyderabad,Doctorate,Yes,Yes,beginer,No,Yes,5,68,2,44,310,45,89,523
141,Great_Learn,ArtificialIntelligence,Hyderabad,Graduate,no,Yes,intermediate,No,Yes,4,58,1,38,280,39,78,498
142,Great_Learn,CloudComputing,Bengaluru,Doctorate,no,Yes,intermediate,Yes,Yes,6,71,2,45,315,47,92,548
143,Edureka,BigData,Mumbai,UnderGraduate,Yes,Yes,beginer,Yes,Yes,1,40,1,15,200,15,50,302
144,Coursera,DigitalMarketing,Mumbai,UnderGraduate,Yes,no,intermediate,No,Yes,17,175,4,124,710,125,192,1302
145,Great_Learn,BigData,Hyderabad,Graduate,Yes,Yes,intermediate,No,Yes,1,41,1,17,204,17,52,308
146,Coursera,FullstackDataScience,Hyderabad,Doctorate,no,Yes,intermediate,No,Yes,1,43,1,16,215,16,54,329
147,Guvi,BigData,Mumbai,UnderGraduate,Yes,no,intermediate,Yes,Yes,18,178,4,130,720,132,200,1351
148,360DigiTMG,python,Delhi,Doctorate,no,Yes,intermediate,Yes,Yes,2,47,1,21,230,20,58,354
149,Upgrad,DigitalMarketing,Ahmedabad,UnderGraduate,no,Yes,advanced,No,Yes,9,106,2,68,437,69,118,762
150,Upgrad,DigitalMarketing,Pune,Graduate,Yes,no,beginer,Yes,Yes,7,82,2,54,366,56,101,620
151,Coursera,BigData,Kanpour,Graduate,no,Yes,advanced,Yes,Yes,16,170,4,121,701,122,189,1289
152,ExcelR,Dataanalysis,Pune,UnderGraduate,Yes,Yes,beginer,Yes,Yes,20,200,5,150,800,150,225,1497
153,Great_Learn,DigitalMarketing,Bengaluru,Doctorate,Yes,no,advanced,No,Yes,12,132,3,94,554,96,150,973
154,Guvi,python,Delhi,UnderGraduate,Yes,Yes,advanced,Yes,Yes,7,79,2,53,359,54,98,602
155,Data_camp,BigData,Calcutta,UnderGraduate,Yes,Yes,beginer,Yes,Yes,9,94,2,62,420,64,111,731
156,Guvi,CloudComputing,Kanpour,Graduate,no,Yes,beginer,Yes,Yes,12,134,3,96,555,97,151,979
157,Simple_learn,ProjectManagement,Delhi,Doctorate,Yes,Yes,intermediate,No,Yes,8,99,2,62,399,63,107,674
158,Datatrain,python,Calcutta,Doctorate,no,Yes,intermediate,No,Yes,14,146,4,108,601,109,165,1072
159,Edvancer,ProjectManagement,Pune,UnderGraduate,no,no,advanced,No,Yes,3,53,1,26,250,27,64,389
160,innomatics,DigitalTransformation,Ahmedabad,Graduate,Yes,Yes,intermediate,No,Yes,1,42,1,17,204,17,52,310
161,Datatrain,ArtificialIntelligence,Pune,UnderGraduate,Yes,no,beginer,No,Yes,16,165,4,119,652,120,182,1185
162,Edureka,CloudComputing,Ahmedabad,Doctorate,no,Yes,beginer,No,Yes,14,155,4,111,622,112,174,1119
163,Edureka,DataScience,Bengaluru,Doctorate,Yes,Yes,intermediate,No,Yes,13,137,3,97,558,98,152,984
164,Guvi,python,Calcutta,Doctorate,Yes,no,advanced,No,Yes,1,43,1,16,215,16,54,327
165,Edvancer,Dataanalysis,Pune,Graduate,Yes,no,intermediate,Yes,Yes,6,74,2,46,340,47,89,537
166,Datatrain,BigData,Mumbai,UnderGraduate,Yes,Yes,advanced,Yes,Yes,19,191,5,141,770,143,215,1436
167,360DigiTMG,DigitalTransformation,Delhi,Doctorate,no,Yes,advanced,Yes,Yes,2,49,1,21,235,21,62,368
168,Edx,ArtificialIntelligence,Pune,Doctorate,no,no,beginer,No,Yes,15,162,4,118,689,120,186,1231
169,Guvi,Dataanalysis,Chennai,Graduate,Yes,Yes,beginer,No,Yes,10,107,3,71,485,72,125,819
170,Edvancer,DigitalMarketing,Chennai,Doctorate,Yes,Yes,beginer,Yes,Yes,12,132,3,95,554,96,150,972
171,Udemy,python,Pune,UnderGraduate,no,no,intermediate,No,Yes,18,180,4,130,725,132,201,1328
172,Edvancer,CloudComputing,Hyderabad,Doctorate,Yes,no,intermediate,Yes,Yes,10,111,3,78,489,79,131,861
173,Edx,ArtificialIntelligence,Hyderabad,UnderGraduate,no,Yes,intermediate,Yes,Yes,7,75,2,50,349,51,94,587
174,Datatrain,FullstackDataScience,Delhi,Graduate,Yes,no,beginer,No,Yes,19,188,5,141,750,142,209,1383
175,360DigiTMG,ArtificialIntelligence,Ahmedabad,UnderGraduate,no,Yes,beginer,No,Yes,20,200,5,150,800,150,225,1499
176,Data_camp,FullstackDataScience,Delhi,Doctorate,Yes,no,beginer,Yes,Yes,19,190,5,138,762,140,212,1414
177,Coursera,CloudComputing,Pune,Doctorate,no,Yes,intermediate,Yes,Yes,11,120,3,85,514,84,138,888
178,Datatrain,BigData,Mumbai,UnderGraduate,no,no,beginer,Yes,Yes,12,125,3,92,545,91,141,950
179,Edvancer,ProjectManagement,Hyderabad,Doctorate,Yes,no,beginer,No,Yes,19,191,5,139,742,141,214,1431
180,Coursera,python,Calcutta,UnderGraduate,Yes,no,beginer,Yes,Yes,9,99,2,67,434,66,116,770
181,ExcelR,ArtificialIntelligence,Calcutta,Graduate,Yes,Yes,beginer,Yes,Yes,3,58,1,31,277,32,71,430
182,Udemy,python,Pune,Graduate,no,Yes,beginer,Yes,Yes,2,42,1,16,202,16,51,306
183,Great_Learn,FullstackDataScience,Calcutta,Graduate,Yes,Yes,beginer,No,Yes,10,110,3,75,480,76,127,826
184,Great_Learn,Dataanalysis,Pune,Graduate,Yes,Yes,advanced,Yes,Yes,5,71,2,45,330,44,86,527
185,Coursera,ArtificialIntelligence,Ahmedabad,Graduate,Yes,no,intermediate,No,Yes,7,86,2,55,385,56,103,660
186,innomatics,ArtificialIntelligence,Bengaluru,Doctorate,Yes,Yes,advanced,No,Yes,9,103,3,71,456,72,122,794
187,360DigiTMG,DigitalTransformation,Bengaluru,Doctorate,Yes,no,advanced,Yes,Yes,9,98,2,66,429,67,116,743
188,Datatrain,DigitalTransformation,Delhi,Graduate,no,Yes,intermediate,Yes,Yes,16,174,4,128,690,129,194,1272
189,innomatics,DataScience,Delhi,UnderGraduate,Yes,no,advanced,No,Yes,18,179,5,135,730,135,205,1360
190,ExcelR,FullstackDataScience,Pune,Graduate,no,Yes,advanced,Yes,Yes,6,74,2,46,338,47,91,564
191,Guvi,DigitalTransformation,Delhi,Graduate,Yes,Yes,intermediate,No,Yes,16,168,4,118,660,121,183,1199
192,Edureka,ProjectManagement,Ahmedabad,Graduate,no,no,intermediate,Yes,Yes,3,52,1,25,246,25,63,397
193,ExcelR,python,Mumbai,Graduate,no,no,advanced,No,Yes,17,172,4,123,670,124,185,1208
194,Edx,CloudComputing,Ahmedabad,UnderGraduate,Yes,no,intermediate,Yes,Yes,16,170,4,121,665,122,184,1204
195,ExcelR,DigitalTransformation,Pune,Doctorate,no,Yes,beginer,Yes,Yes,9,101,2,68,438,67,118,774
196,Upgrad,BigData,Pune,UnderGraduate,Yes,no,advanced,No,Yes,10,107,3,73,462,74,123,808
197,Great_Learn,DigitalTransformation,Mumbai,UnderGraduate,Yes,Yes,advanced,Yes,Yes,18,185,5,137,732,138,210,1417
198,Edvancer,python,Delhi,Doctorate,no,no,intermediate,No,Yes,3,55,1,30,274,31,69,420
199,Edx,DataScience,Kanpour,UnderGraduate,no,Yes,intermediate,No,Yes,11,118,3,85,511,83,137,884
200,Edureka,CloudComputing,Mumbai,Graduate,no,no,advanced,No,Yes,9,93,2,62,405,63,101,729
201,Coursera,DigitalTransformation,Chennai,Doctorate,no,Yes,intermediate,No,Yes,20,195,5,147,795,148,224,1495
202,ExcelR,python,Mumbai,Doctorate,Yes,no,intermediate,No,Yes,6,81,2,53,370,54,97,639
203,Great_Learn,BigData,Ahmedabad,Graduate,no,no,beginer,No,Yes,6,79,2,50,357,51,95,604
204,Upgrad,ArtificialIntelligence,Bengaluru,Doctorate,no,no,beginer,No,Yes,13,132,4,104,607,105,165,1075
205,Udemy,BigData,Ahmedabad,Graduate,Yes,Yes,beginer,Yes,Yes,11,117,3,86,526,87,142,925
206,Guvi,Dataanalysis,Delhi,Doctorate,Yes,no,intermediate,Yes,Yes,11,124,3,94,546,95,151,974
207,innomatics,DigitalMarketing,Calcutta,Doctorate,no,Yes,advanced,Yes,Yes,4,62,1,34,290,35,76,483
208,Edureka,ArtificialIntelligence,Pune,UnderGraduate,Yes,no,beginer,Yes,Yes,2,47,1,20,227,21,58,353
209,Guvi,ArtificialIntelligence,Ahmedabad,Doctorate,no,no,advanced,No,Yes,9,105,3,71,458,72,121,796
210,Simple_learn,ProjectManagement,Hyderabad,UnderGraduate,Yes,Yes,advanced,Yes,Yes,18,182,4,132,726,133,203,1361
211,Edureka,FullstackDataScience,Bengaluru,Doctorate,Yes,Yes,advanced,Yes,Yes,11,122,3,94,556,95,151,992
212,Edx,DigitalTransformation,Delhi,Doctorate,no,no,intermediate,Yes,Yes,16,173,4,124,675,125,186,1212
213,Datatrain,ProjectManagement,Kanpour,Graduate,no,Yes,beginer,No,Yes,17,176,4,130,690,131,191,1250
214,Guvi,DataScience,Ahmedabad,Doctorate,Yes,Yes,advanced,No,Yes,11,119,3,83,514,84,138,892
215,innomatics,DataScience,Hyderabad,Doctorate,Yes,no,intermediate,Yes,Yes,1,47,1,21,230,22,59,369
216,Edureka,ProjectManagement,Chennai,Graduate,Yes,Yes,intermediate,No,Yes,20,196,5,145,785,147,221,1477
217,Data_camp,Dataanalysis,Hyderabad,UnderGraduate,no,no,advanced,Yes,Yes,19,190,5,140,763,141,213,1421
218,innomatics,DigitalTransformation,Ahmedabad,Doctorate,Yes,no,beginer,No,Yes,17,182,4,134,740,134,196,1296
219,360DigiTMG,ProjectManagement,Pune,Graduate,Yes,Yes,advanced,Yes,Yes,12,143,3,99,645,98,163,1031
220,Edvancer,ProjectManagement,Bengaluru,Graduate,no,no,advanced,Yes,Yes,12,141,3,97,641,97,160,1028
221,innomatics,DigitalMarketing,Hyderabad,Graduate,no,Yes,advanced,Yes,Yes,4,63,1,36,299,37,78,497
222,innomatics,CloudComputing,Ahmedabad,Graduate,Yes,Yes,intermediate,No,Yes,1,48,1,22,234,23,60,376
223,innomatics,python,Bengaluru,Graduate,Yes,Yes,intermediate,No,Yes,5,70,1,42,323,43,85,533
224,innomatics,BigData,Ahmedabad,Graduate,no,Yes,advanced,No,Yes,8,95,4,64,424,65,116,730
225,Great_Learn,ArtificialIntelligence,Delhi,Graduate,no,Yes,beginer,No,Yes,8,107,3,77,636,78,128,811
